,P/E Ratio,Beta,Market Cap,EPS Growth,ROE,Dividend Yield,Current Ratio,Quick Ratio,Insider Ownership
MLM,16.449564,0.908,33387659264.0,-0.152,0.25312,0.0058,1.864,0.861,0.00701
MAS,20.075794,1.247,17920423936.0,0.009,9.1619,0.014099999,1.762,1.041,0.00322
MA,37.728943,1.103,455210467328.0,0.167,1.8770399,0.0054,1.14,0.741,0.10601
MTCH,15.782609,1.486,9361588224.0,0.017,,,2.51,2.28,0.00801
MKC,30.28832,0.758,22287794176.0,0.214,0.14345999,0.0202,0.693,0.256,0.00024000001
MCD,25.969378,0.724,212928905216.0,-0.111,,0.0225,1.075,0.817,0.00179
MCK,22.729305,0.441,65875914752.0,-0.003,,0.0056,0.926,0.462,0.00095
MDT,30.080807,0.854,114587475968.0,0.356,0.07948,0.0313,2.133,1.347,0.0025799999
MRK,21.698147,0.401,297003712512.0,,0.33383,0.026300002,1.466,0.933,0.00058
META,28.742958,1.213,1420114395136.0,0.732,0.35375,0.0036000002,2.83,2.688,0.00162
MET,21.970108,1.029,56621273088.0,1.667,0.10122,0.027,1.533,1.292,0.16455999
MTD,38.608185,1.139,29836529664.0,0.07,,,0.92,0.551,0.015310001
MGM,14.026316,2.236,11333658624.0,0.091,0.27016002,,1.47,1.213,0.22225
MCHP,30.681276,1.519,41316249600.0,-0.802,0.20696,0.023599999,1.939,0.928,0.02108
MU,,1.176,100793548800.0,,-0.03434,0.0050999997,3.409,1.975,0.0025799999
MSFT,36.918575,0.896,3235379150848.0,0.097,0.37133,0.0076,1.275,1.141,0.00054000004
MAA,36.92273,0.873,19490326528.0,-0.307,0.08469,0.036199998,0.118,0.066,0.00654
MRNA,,1.671,25250973696.0,,-0.40941003,,4.088,3.771,0.09519
MHK,,1.375,9947255808.0,0.557,-0.04518,,1.92,0.856,0.1734
MOH,19.266449,0.58,20593213440.0,-0.034,0.25118,,1.574,1.523,0.011039999
TAP,9.998166,0.814,11298501632.0,0.293,0.0879,0.0323,0.953,0.673,0.11817
MDLZ,25.525772,0.548,99223224320.0,-0.351,0.14033,0.0253,0.676,0.241,0.00176
MPWR,106.36277,1.12,43453632512.0,0.005,0.20371,0.0056,6.767,4.964,0.03427
MNST,31.9875,0.737,50129784832.0,0.051,0.24615,,3.407,2.515,0.28523
MCO,48.783035,1.29,90069671936.0,0.473,0.5131,0.0069,1.516,1.389,0.13783
MS,16.853619,1.357,165782110208.0,0.468,0.10401,0.0361,2.069,1.705,0.23566
MOS,34.079998,1.363,8144387584.0,,0.02269,0.031400003,1.155,0.469,0.0067299996
MSI,51.823185,0.977,73838821376.0,0.209,2.51541,0.0089,1.2,0.952,0.00389
MSCI,36.9083,1.111,43340992512.0,0.091,,0.0116,0.955,0.841,0.03202
NDAQ,43.19186,0.962,42697433088.0,-0.296,0.11017,0.0128999995,0.938,0.178,0.10739
NTAP,23.917809,1.219,25028579328.0,0.696,1.2042199,0.017,0.958,0.821,0.00417
NFLX,43.869213,1.262,300857556992.0,0.483,0.31570998,,0.948,0.782,0.00735
NEM,,0.513,62500515840.0,2.843,-0.08089,0.0184,2.106,0.629,0.00093000004
NWSA,57.260868,1.358,15212246016.0,,0.03943,0.0076,1.431,1.16,0.0008
NWS,60.173912,1.358,15212235776.0,,0.03943,0.0072000003,1.431,1.16,0.40861
NEE,26.957657,0.551,170100768768.0,-0.428,0.09078,0.0249,0.488,0.294,0.00082
NKE,23.19571,1.014,129724620800.0,0.505,0.40093,0.0171,2.396,1.511,0.01421
NI,20.907976,0.504,15285222400.0,1.107,0.091280006,0.0311,0.775,0.294,0.00141
NDSN,31.168293,0.902,14614448128.0,-0.081,0.17406,0.012200001,2.362,1.358,0.10127
NSC,31.33502,1.307,56040153088.0,1.082,0.14013,0.0218,0.628,0.504,0.00068000006
NTRS,12.60631,1.096,18530533376.0,1.784,0.12776,0.0327,,,0.00542
NOC,34.121506,0.337,76797632512.0,0.191,0.15349,0.015700001,1.105,0.928,0.00247
NCLH,21.536081,2.712,9185144832.0,0.776,1.1863301,,0.239,0.121,0.0064700004
NRG,9.549342,1.085,17973633024.0,1.696,0.59641,0.0187,1.181,0.457,0.028570002
NUE,10.541066,1.563,34724921344.0,-0.539,0.17629999,0.0148,2.931,1.757,0.00508
NVDA,54.46009,1.673,2845480058880.0,1.68,1.23767,0.00029999999,4.269,3.503,0.04298
NVR,19.569504,1.187,29154039808.0,0.036,0.39541,,6.129,2.946,0.04822
NXPI,21.691301,1.497,59067486208.0,-0.049,0.31456,0.0175,2.211,1.345,0.00121
ORLY,27.935768,0.924,64331223040.0,0.032,,,0.699,0.094,0.00878
OXY,13.378239,1.605,47312412672.0,0.635,0.14427,0.017,1.041,0.592,0.27563998
ODFL,33.21404,0.992,41567186944.0,0.113,0.32136002,0.0054,1.46,1.283,0.10098
OMC,14.149378,0.964,20014893056.0,-0.093,0.35424,0.0274,0.934,0.745,0.01114
ON,15.847381,1.656,29800726528.0,-0.393,0.25236,,3.015,1.791,0.00328
OKE,20.789824,1.634,54885433344.0,0.279,0.21406999,0.0421,0.622,0.343,0.00193
ORCL,43.29897,1.0,465522982912.0,0.198,1.55578,0.0095,0.72,0.591,0.41616002
OTIS,26.681564,0.93,38261014528.0,0.133,,0.0163,0.79,0.671,0.00141
PCAR,10.488865,0.901,51850801152.0,-0.086,0.30283,0.0121,5.096,4.465,0.0186
PKG,26.746231,0.786,19120930816.0,-0.013,0.18013,0.0235,2.434,1.572,0.01538
PANW,46.71978,1.132,110743068672.0,0.591,0.74517995,,0.892,0.771,0.01005
PARA,,1.77,7395749376.0,,-0.29097998,0.0191,1.297,0.984,0.05546
